,text
4986,Biomedical lo tab bhi apn dusre branch ka explore kar skte  h ky
4987,How to accure online pdf for free
4988,Which college did u study??
4989,What about NBA accredation?
4990,Atleast add subtitles
4991,Didi aap konse college se the
4992,U knw what🤣🤣🤣 u r a female dhattarwal version🤣🤣
4993,She is varient of Aman Dhattarwal from another timeline and got stuck here
4994,She&#39;s from NSUT
4995,Thanks didi...you really boosted up my confidence😊from which college have done your engineering?
4996,💯💯
4997,Great video
4998,Didi kis college ho
4999,Thanks di...😍
5000,I agree with you. I never prefer online pdf&#39;s i use only 2nd hand books in cheap😛
5001,Yup books se padhne mei alg hi feel aata hai ...
5002,I disagree about online pdf. Spend some money and buy second/third hand books but avoid pdf.
5003,"Bruhh besides not knowing hindi, you don&#39;t know English too lmao, I had a brain stroke while reading this comment"
5004,"Please try to explain In English <br>You have sooo much fan base  from hole india and from south india so many of them  didn&#39;t know hindi please try to explain In English<br>I think you will understand my situation....,. it&#39;s whole South Indian problem ☺️<br>I think my message reach you at any time"
5005,Aman &quot;bhaiya&quot; se &quot;Sir&quot; kab bangai pata hi nhi chala 😏😂
5006,Speeeed is directly proportional to confidence :)))
5007,♣️♣️💕
5008,i really like her.....
5009,Is asus chromebook is enough for b tech
5010,??
5011,"Engineering karne pe itna regret kyu? I&#39;m in 12th, can you elaborate?"
5012,Lmfao
5013,2  things before engineering <br>1 . Don&#39;t join enginnering <br>2 . Follow the first point
5014,didi kitti aasani se bol diya apne jee wagerah.......yaa 4 attempt me 90 cross ni hora
5015,"Please tell us how to develop interest in studies, internship, academics, project in online world 🙏"
5016,Thanks didi.
5017,Pdf se ankho pe strain bhi to padhta ha sister
5018,4:7
5019,Ab to 3rd year me aa gye 😂
5020,"Whaat helll is video what is the caption, what she explain, I&#39;m totally disappointed, i Don&#39;t know what she talk about this"
5021,Aman bhayya will change her name from Microsoft Wali Didi to Apni Didi😂<br>Awesome tips 🙇‍♂️
5022,What was her college
5023,Now the videos which are coming are for batch 2021-2021(which will go to colledge**)(i think)
5024,Aagar koi college  me project bana chahata h to ek baat yaad rakhna ki upna project  jada mat keechna warna boor hoke upna project kharab kar loge
5025,Didi please tell us which specialisation we take in btech or we don&#39;t take please tell
5026,@Surendra Sharma nice😁
5027,@Surendra Sharma hmm😅
5028,I also have the same dream 😂😂😂😂
5029,But now you are a gamer right
5030,My main goal in life is to become the most knowledgeable in IT sector<br>My dream from my childhood 🔥
5031,Plz Di IT par ek vedio banado
5032,&#39;Kar rhe honge&#39; again  😂🤣😂🙄🙄
5033,ITI me kuch ker sakte he
5034,I do startup and next 10 years make billion dollar company mark my word
5035,Didi please language engineer banne ke liye batao NLP nhi language engineer please didi please bhaiya please hamari saari team and teachers 🙇🙇🙇🙇
5036,Online education says hi to social interaction😆😆
5037,💥💥💥❤❤❤❤𝗧𝗵𝗮𝗻𝗸𝘀!!!
5038,Mam please summarize all the points at end after explaining each point in detail 🙏❤️
5039,Mam aerospace engineering se related information provide kijiye please. Konse college se Krna chahiye and kaise Krna chahiye?
5040,"<a href=""https://www.youtube.com/watch?v=hg38QLJbmuc&amp;t=1m18s"">1:18</a> aman sir <br>Samjh rahe ho <br>Samjh rahe ho"
5041,Mam ka insta acc batao koi
5042,Microsoft wali didi 🤣🤣🤣🤣😂😂😂
5043,@👌👌
5044,Ya engineering ke naam pe youtuber bnke ant sant faltu ki knowledge failayenge
5045,I  am shy to talk with a girl whether she is classmate or senior. Please tell me how can I make conversation in college.
5046,didi bhi aman bhaiya  ki trhn action  krti hai😂😂😂
5047,Didi ye btayoo ki gf kaise banaye 😅😅
5048,U ar copy some body and expression. Language of Aman bhaiya
5049,🐽
5050,Didi future plan Aman Sir..not Aman bhaiya😁😂 samajh rhe ho...
5051,It would be opposite because most of the indian don&#39;t know English so well 💩💩
5052,it would be opposite
5053,"If you talk in english , you would have millions of views and subs"
5054,Thanks for the info mam!!🤗🤗🤗🤗❤❤❤❤❤
5055,Placement hogyi bhai?
5056,Me watching this after 3 years of Engineering
5057,🤣
5058,Aman sir ohoo....<br>Aman Bhaiya nahi nikla muh se😗
5059,Me watching this video after getting my degree!!
5060,Just one thing 😁 <br>I love your voice. 💖
5061,Didi apne kaunse college se ki hai engineering
5062,Aman bhaiya always know when what we want❤️
5063,"Thank u so much di,waiting for exam . collg life ab or interesting lagegi 🤩"
5064,Aman sir...
5065,Please explain about artificial intelligence course
5066,Microsoft wali Didi!
5067,What are you doing now?
5068,"Di... I am from BCA batch second year. My college is affiliated from ccs University. I don&#39;t know what I have to do to grab best job... Becz of covid, the placement number Is also decreased. Please guide us."
5069,Thank you very much didi❤❤
5070,@Kundan puch Raha hoon
5071,@shyam patale puch rahe ho ya bata rahe ho
5072,But if you have a BTech degre you&#39;ll get more preference
5073,@Otis Milburn bhai bca ka scop hai
5074,What is SDE
5075,"Can BSE/BCA students apply for SDE in tech giants like microsoft,Amazon, etc in off campus placement or not ???<br>Please tell 🤔"
5076,Make a video on how to find intership being a student.
5077,"<a href=""https://www.youtube.com/watch?v=hg38QLJbmuc&amp;t=7m14s"">7:14</a> Whatsapp web notification arrives."
5078,Thank you so much......
5079,♥️♥️♥️🔥🔥🔥♥️♥️♥️
5080,Please give something knowledge about software engineering and how can we achive this....<br>I am a student of class 12th PCM in this year ....
5081,she is from which college ?
5082,Yes but upgrade RAM to ≥8Gb
5083,Mam ryzen 3 processor kesa hai ? Ky m iss laptop k saath 4 saal ki btech kar skta hu?
5084,Maam app topics bahut sundar tarike se samjhate ho- Thank you for giving us this kind of Knowledge.
5085,No
5086,I m trying to be extrovert till I go to the college because in school i was an introvert and it was very difficult or we can say more typical to express your emotions
5087,"@Ajay I&#39;m a guy who has social anxiety, and I don&#39;t speak much to people, so it is different from the actual meaning of introvert. What do we actually call it?"
5088,@Ajay lol exactly and that wouldn&#39;t actually work or make sense if people knew what the actual meaning of introvert is.
5089,"@Aadith so true. Some people need to learn communication skills but to escape from this, they declare themselves as Introverts. (i have realised recently, i was one of them)"
5090,Actually introverts have better communication skills than extroverts
5091,Okay her hair is too long....bit what she said!
5092,Aman sir kon nai?<br>Ohhh Aman bhaiyya
5093,What about shiv nadar university
5094,How to explore in online education of college in which we have only microsoft team... in the name of college..🤔🤔
5095,Di can u make how can we change any branch in clg
5096,"Summary <br><br>1. NIRF Rankings (based on many factors which includes campus size &amp; sports opportunities) are important but priority should be fee structure, placement &amp; opportunities. + Brand Image Matters, Don&#39;t limit yourself to your branch only! Chemical Engineers can be coders too.<br><br>2. Laptops are important, have it asap! <br><br>3. Online PDFs are boon<br><br>4. Social Interactions are important, since communication helps a lot in career. Spend time with new &amp; like minded people. Be open and keep improving!<br><br>5. Explore Opportunities like hell but always have motive and goals. Create hobbies, make experiences explore different things &amp; dynamics, including startups, government internships in ISRO and DRDO and everything."
5097,microsoft wali didi..
5098,Didi please make video on start up in college
5099,Thanks didi 💙 great video ❤️
5100,Thanks didi 💙 great video ❤️
5101,"Guys core branches r difficult to study, u need to give alot of effort, and gate becomes imp. Generally ppl in core are those students who wanted to go for other branche or pursue mba later.<br>So if you think that software can be done easily, you need to give extra time and work it by yourself <br><br>While in branches like cse it&#39;s a part of curriculum so it&#39;s comparatively easy and clg faculty make it easy to understand."
5102,Sab placement aur naukri ke peeche bhagg rahe...... Life ko enjoy karo
5103,Bhaiya someone is uploading your DRONA batch classes for free!!!! Please take action!
5104,Bhaiya someone is uploading your DRONA batch classes for free!!!! Please take action!
5105,Bhaiya plz ek  complete full stack developement ka course le kr aaye plzzz bhot help melegi or ek complete  python ka bhi course laye plzz bhot help melegi  plzz Bhaiya kuch baache yese bhi h jo coaching ki fees  nahi de sakte h un sub k leye plzz Bhaiya.
5106,I am in 12th and I think the same thing will happen to me too😅.
5107,Yes I am also struggling to know my interest!! 😔
5108,"<b>I don&#39;t even know ,what&#39;s my interest . Going in flow with others , engeeneering 🤕</b>"
5109,Kalyani me cs better hai ya jadhavpur me electrikal
5110,Day by day microsoft wali didi is getting more and more better 😂❣️
5111,MICROSOFT VALI DIDI 👍👍👍👍
5112,Aman bhaiya ❤️❤️didi 😌
5113,Didi aur aman bhaiya machine learning ke liye konsa laptop lu ya fir kya configuration chahiye ispe video banao please.
5114,Aap aapne bare me ku nahi batate....hai.👈
5115,Off campus placement k liye collage ka naam priority rhta h ya branch
5116,Off campus placement k liye collage ka naam priority rhta h ya branch
5117,Off campus placement k liye collage ka naam priority rhta h ya branch
5118,Off campus placement k liye collage ka naam priority rhta h ya branch
5119,Off campus placement k liye collage ka naam priority rhta h ya branch
5120,Off campus placement k liye collage ka naam priority rhta h ya branch
5121,Off campus placement k liye collage ka naam priority rhta h ya branch
5122,Off campus placement k liye collage ka naam priority rhta h ya branch
5123,Off campus placement k liye collage ka naam priority rhta h ya branch
5124,Off campus placement k liye collage ka naam priority rhta h ya branch
5125,Off campus placement k liye collage ka naam priority rhta h ya branch
5126,Off campus placement k liye collage ka naam priority rhta h ya branch
5127,Off campus placement k liye collage ka naam priority rhta h ya branch
5128,Off campus placement k liye collage ka naam priority rhta h ya branch
5129,Off campus placement k liye collage ka naam priority rhta h ya branch
5130,Off campus placement k liye collage ka naam priority rhta h ya branch
5131,Both doesn&#39;t matter
5132,Off campus placement k liye collage ka naam priority rhta h ya branch
5133,Off campus placement k liye collage ka naam priority rhta h ya branch
5134,Off campus placement k liye collage ka naam priority rhta h ya branch
5135,Didi aap ko se college se ho???
5136,@EXPLORER: THE JKB B tech. CSE
5137,@Akash Dey Which course and stream?
5138,"@EXPLORER: THE JKB Yes , 2nd yr"
5139,@Akash Dey Are you a student there?
5140,@EXPLORER: THE JKB a66a nhi h vo clg
5141,"I am also doing <a href=""http://b.tech/"">B.Tech</a> CSE AI ML.✌🏻🤗"
5142,Didi pls ek beginner guide bana do students ke liye. (Coding related)<br>Jisme pura aap explain kr dena ki apna college pe upload hua content kaise consume krna hai for beginners.( Coding kaise seekhni hai aur kaise videos ko use me lena hai in sequence)<br>Kyoki bahut bachhe is saal college me admission le rahe honge aur bahut ne le liya hoga..<br>Pls request hai 🙏🥺
5143,Wtf 😂😂😂
5144,🌚😂😂
5145,😂😂😂
5146,Next video:<br>5 things I wish I knew before I was born.
5147,thank u didi
5148,Yes indeed
5149,Can we manage our side hustle while studying.
5150,Too late 🥲
5151,"<a href=""https://youtu.be/HPZvYpTPqnk"">https://youtu.be/HPZvYpTPqnk</a>"
5152,❤️🔥
5153,Microsoft walli didi yooo😎😎😎🤘🤘
5154,Call aman sir not bhaiya and call her ma&#39;am not didi....it is annoying
5155,Didi me Aman Bhaiya nhi Aman Sir* bola....Didi ne Bhaiya nhi bola 😘😘😀😀....Aakhirkaar kya Chal raha hai Dono ke beech 😂😘
5156,Apna College Channel pe bas Time Pass Chalta hai
5157,Outro Said &quot;Apni Kaksha&quot; !!
5158,Uske liye college toh open hone do
5159,90% of engineers are introverts
5160,It&#39;s a request to Apni kaksha team that they make a paid course on the app for  placement of first year fresher student of engineering who even don&#39;t have knowledge of coding.
5161,Puchle 1 saal se college ka muh nhi Dekha h😂 kaha se kuch explore karen
5162,Vicks ki Goli lo<br>Hichkich door karo😂
5163,web development ki aage ki videos kab aayegi
5164,Spam MICROSOFT WALI DIDI OP
5165,Actually this is the thing.. always prefer branch over college. Cuz studying your branch side by side with practicing CSE and coding can be hella tough and shit considering the fact that the people who are already studying cse there will not sit back. There&#39;s rigourous hardwork needed. So why prefer college over branch? When it&#39;ll matter less asf than your actual skillet?
5166,@Surya Facts lol
5167,@NanoTech TonyStark Harsha 😇
5168,Bro L.K.G is the  toughest
5169,@HectifyerOfLife Nope ECE is the child of EE and CSE
5170,"<a href=""https://www.youtube.com/watch?v=hg38QLJbmuc&amp;t=1m59s"">1:59</a> going into branch like electrical/mechanical will give you no time in doing coding side by side,it’s pretty difficult not impossible definitely.Also maximum people working in tech giants are from either ECE or any computer branch(CS,IT,CSAI)"
5171,Same..!
5172,Me also want
5173,Didi plz explain the difference in CSE vs CSE (AI/ML)  vs (only)AI/ML
5174,"Diiiii , please make a video on SRM COLLEGE REVIEW🙏🏻"
5175,Thanks di
5176,Mera last year hai
5177,Op video kuch jada hi confidence mil gaya 😂😂
5178,didi &quot;zombie&quot; jaisi dikh rahi hai in this yt video
5179,@Varsha Relatable?🙂🖐🏻
5180,@Sakshi Dherange relatable?
5181,"@Carram board Lover Thukra ke mera pyar,mera intekaam dekhegi 😌"
5182,@samikshadhote99 🤧🤧 yes bro?? Relatable?
5183,"@Parthiv Sarkar Awwww🥺,so Caring!!"
5184,"&quot;engineering is overrated,engineers are underrated&quot;"
5185,Do Saal to bekar Nikal gaye
5186,Aman sir kya aap ek python k uper ek playlist bana sakte ho kya??
5187,Didi ka linkedin profile kya hai
5188,Please make a guide video on MCA NIMCET EXAM and How To Prepare for It. <b>Reply Please</b>
5189,Plz make a video on blockchain developed roadmap+ launch a course also if possible
5190,Didi ne eyebrows thread karwai hai 😂😂sry didi jst kidding
5191,Bhiya atleast web development ka course toh complete karo. Kaafi lamba break ho gaya hai...
5192,online mein society interaction kaise kare?
5193,Aman to Aman Sir ...how di
5194,In India sab engineering banege
5195,Make a detailed video of artificial intelligence
5196,@lll Dell Alienware 😈
5197,@The Dictator bruh macbooks are costly af 80k ke andar batao koi
5198,@lollxxd macbook air m2
5199,Msi pulse gl66
5200,@lollxxd  vivobook or msi modern series
5201,"<a href=""http://1.college/"">1.college</a> ranking(by education and placement) <br>2.laptop(better laptops) <br><a href=""http://3.online/"">3.online</a> PDFs(books) <br><a href=""http://4.social/"">4.social</a> interaction<br>5. Oportunity explore"
5202,3rd copy of Aman Bhaiya..... 😂😂<br>But informative.....
5203,Launch a ethical hacking course for beginners in app please
5204,If you are topper then do susu
5205,Didi Indian statistical Institute pe video banaiye plzzzz 🙏🙏🙏🙏🙏
5206,aapka college konsa tha?
5207,Please start Java+ DSA full course
5208,Social media made every person a introvert 🥱
5209,"Wait what !!! Seriously!!!! She just said, &quot;Aman Sir &quot; <a href=""https://www.youtube.com/watch?v=hg38QLJbmuc&amp;t=1m18s"">1:18</a>"
5210,Didi IIT mai social engineer branch hai
5211,+1
5212,Next Video : NIMCET MCA Roadmap after BCA
5213,Didi MCA / BCA ke liye ek dedicated video
5214,Anyone here who is going in Manav Rachna
5215,Join karne bad bataye 🥲
5216,Reaserch culture and labs dekho colleges ka
5217,Ma&#39;am I Want to make scientist so what  should choose me please tell
5218,Collage toh khul jye phele
5219,Didi ki insta id kya hai?
5220,Thanks didi
5221,Kuchhu kam ka nii tha 🙄🙏
5222,Ma&#39;am mere laptop me celeron n3050 hai kya ye thik rhe ga
5223,+1
5224,What to explore when classes are online
5225,didi pls make video on which branch to choose
5226,Thankyou Microsoft wali didi Sabse jyada best
5227,this line..josh hmara high hotaa h 😀<br>didi ye aman bhaiya ki line hai ❤️
5228,Hey buddy r uh AI student??
5229,di plz make a video on which book we should go for [In cs(AI&amp;ML) branch] from beginners to advanced level....<br>if anyone wants such type of video plz hit the like button sp that di can confidently make a video it.
5230,sbse pehle jake to ek esi hi microsoft wali didi dhundunga. :&gt;
5231,Apna college comes under Apni Kaksha...that&#39;s why
5232,Video is uploaded on Apna College but the outro is of Apni Kaksha😂
5233,Thank You for the video ! 🙏😊 And thanks for considering other branches too! 😇
5234,Thanks ❤❤
5235,"Guys please suggest a good laptop for me, my budget is 40k"
5236,Microsoft wali didi have taken over the channel
5237,Suiside is for kids<br>Real men do Engineering😂🥲😏
5238,🙂
5239,Desh par daya karo mat bano engineer.
5240,@sudoNerd batadoo
5241,@sudoNerd arey bata dena plz
5242,"@Sociopath Wait till 2022 ends, everyone will know. There is something very evil will disclose. <a href=""http://www.youtube.com/results?search_query=%23patience"">#patience</a>"
5243,@sudoNerd i know dtu is very good but why have u written yt twitter and all
5244,@Dumber than you think use your brain
5245,"1 THING I SHOULD KNOW BEFORE ENGINEERING :<br>Only best college for a good career is DTU. [Youtube, Twitter, Facebook, LinkedIn, Instagram, Quora.... every social media]"
5246,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
5247,"Hii microsoft wali apni didi ..!! kal hi mera new laptop aaya aur aaj aapko full screen par dekh kar bada maza aa raha hai....very energetic and good vibes are here.<br><a href=""http://www.youtube.com/results?search_query=%23thank"">#thank</a> you for your guidance and off cource your motivation.<br><a href=""http://www.youtube.com/results?search_query=%23thank"">#thank</a> you <a href=""http://www.youtube.com/results?search_query=%23team"">#team</a> apna college<br><a href=""http://www.youtube.com/results?search_query=%23will"">#will</a> keep rocking<br><a href=""http://www.youtube.com/results?search_query=%23will"">#will</a> keep learning<br><a href=""http://www.youtube.com/results?search_query=%23will"">#will</a> keep exploring."
5248,Need vedio on data science and scientist
5249,Didi..can you please make a video on ..does college really matters or not ??..please <br>For example..w/o a degree..can we get into companies like Google and amazon etc ??..
5250,@Rahul Neha acha.
5251,Nsut passout...ab microsoft mein hain
5252,Didi aap konse college se ho?
5253,Kaash engineering na kri hoti😂
5254,This channel is awesome can u guys make machine learning tutorial as well
5255,Didi Java placement course kb aayega????
5256,Artificial intelligence ke branches ke bare me ek vid banado plz... Huge request
5257,@Aisa Kyun Hota Hai wo bhi hai 😂
5258,Aman bhaiya se acha kaha hi milega
5259,Imagine<br>Aman bhaiya weds this didi 😂
5260,Basics like :- syntex
5261,<b>****Question****</b><br><br><br>Agar opps start kiya hey college lekin woj language nhi ati <br>Toh usme perticular language me konse topic hame ana chahiye pahile ?
5262,Didi ek kotlin ka tutorial lao na plzz
5263,"what is the point of everything u just said..we poor tier three students cant afford to be so..we feel like meaningless creatures who aren&#39;t appreciated to the efforts we make...i know an electrical engineer who knows peanuts about iot and embeded systems , but still manged to get placed is a company with a fat payment just because she is from nit....companies themselves make these kinda things  going on and still they  complaint about diminishing quality of engineering graduates. what the hell...i feel like a fool for pursuing android developent and going the extra miles..what did i get from it...just some crappy internships and jobs where im made to work like a dg where i do things these spoon fed monkeys of nits and iits cant even imagine...while the idiots from these so called premier institutes enjoy stardom and fame jst cause they outdone us in a crappy entrance test.i jst wannapoint out  ...exploration is total shit..never give a rats furry ass about it..stick with the basics ...do some dsa and 2 projects then shut the hell up...and suck cause we r frm a tier 3 college eventhoungh im a  topper of my state entrance exam cleared nda but crapped out of jee cause im general...."
5264,Are you from civil or c grade college 😂
5265,Advance rip 💔😐
5266,You are from mechanical??😅😅
5267,The biggest mistake is to take engineering is &#39;engineering it self&#39;.😴
5268,@Super same dbt
5269,@It&#39;s Prashant Agrahari side hustle like youtube<br>Web development<br>Freelancing ect.<br>I want to do this stuff so mere ko ye sab karne ka time milega ki nhi ya phir pura 6 months padhai me hi chale jayega btech me?
5270,"Yes ,if you are interested in learning computer related things, means you will get free time based on your clg not on your branch, you need to study your branch stuff ,also you can do anything what you like by opting any branch, if you are not sure and want to prepare for exams, do hustle then go for top clgsm"
5271,b tech
5272,"Please someone help me what should I do?<br>Should I do <a href=""http://b.tech/"">B.tech</a> in CS<br>Or bsc in CS<br>I want to give more time to my side hustle so what should I do for my better future?"
5273,Aman sir not bhaiya 🤭😏
5274,Didi I have taken ECM (Electronics and computer science) ... What do you think about it ??
5275,Lekin ye sab tab hoga jab college khulenge...baithe baithe final year aa gaya yrr mera aab ye bhi na nikal jaye
5276,I also want college not to open so that i have more time to study and develop coding skills
5277,@Parthiv Sarkar ohh ok how much you scored in your WBJEE ?
5278,@Dhruv Dornal through WBJEE and JU is in Kolkata
5279,@Parthiv Sarkar damn... Which Entrance they accept and where it is situated tho ?
5280,@Dhruv Dornal  Yes bro . This is Avg. package and avg. 20 LPA for IT
5281,The biggest mistake is engineering itself<br>You have to pay 1.5 / year and you&#39;ll get only GOOGLE MEET education
5282,First 1 hour viewer
5283,Didi on the way to steal this channel from aman bhaiya😸😹
5284,"<i>*Plz aman bhai plz tell me if there  any job in ur organization, I really want to join team like u *</i>"
5285,Smj rhe ho 😉<br>Ft : Harsh beniwal ❤️
5286,She can&#39;t see him as brother
5287,"have you ever observed, she never says aman bhaiyaa"
5288,Thank you dii
5289,❤️
5290,good. u should be able to do most of ur work
5291,It&#39;s good bro
5292,I choose Lenovo legion y540... (8 /1TB+256 ssd / i5 9th / windows 10/ms office / gtx 4 gb graphic card) <br>How&#39;s it..?????
5293,@Kundan ohh
5294,@B.HARISH master in computer application
5295,@College2Company between what is mca😅
5296,@vasu namdev could you please tell me which book is good for mca entrance exam???
5297,@vasu namdev thanks
5298,Mam i am bsc mathematics honourse student now I want to do some technical courses which courses is better for me mca Or btech lateral entry.. <br>Please make a video on this topic
5299,Inn Colleges and Engineering degrees jaise CHU*<b>*</b> cheese maine aaj tak nahi dekhi
5300,Mam ggi Ludhiana is good or not
5301,Didi aman bhayia m saath shadi krlo♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️
5302,Didi aman bhayia k saath shadi krlo♥️
5303,Notes of this lecture like.... C++ ka course was launched way back (no offence)
5304,Jada der tak pdf deknese ankho main dard hota hey
5305,"@Ranjana Srivastava In tier 3 college, there will be assignments, semester pressure, projects etc, but overall, these pressure is much much less and compared to tier 1 colleges, in tier 3 colleges, you will get ample time to prepare for UPSC, GATE etc( only if you don&#39;t spend time partying with friends and getting into weeds and alcohol), rest depends on your mindset. Time imps the most important thing in life, tier 3 colleges might have low placement standards as compared to other good colleges but the free time you get here in incomparable."
5306,@CR7 FanClub will I get time to prepare for government jobs ???
5307,"@Billionaire&#39;s Valley I had to join a state private college because my father didn&#39;t have so much money to admit me in NIT or IIIT, this is my third year and if everything stays fine, after I graduate, I will move to Canada,"
5308,Tum private mein ho ki govt college mein ?
5309,"Dekh bhai, tier 3 college be bohut time milega as i have seen, bohut log us time ko use karte hai aur bohut log use nahi karte, IITs BITS aur IIITs, even in few NITs, academis pressure bouhut zyada hota hai, specially in IITs and BITS"
5310,Didi private engineering colleges me time milta h ya nahi kuch extra karne ke liye pls reply . Pls make a video on FAQs for private engineering colleges .
5311,lol
5312,Didi engineering chhodo meko yeh batao apke baal itne healthy kaise h
5313,Kya kare ghar baithe to abb explore bhi screen pe karna padta h 🙂
5314,Awsm ❤️❤️❤️❤️
5315,Agr bhaya bola to aman sir naraj ho jayenge 😂😂
5316,Yaar woh boss hai
5317,Why aman sir it&#39;s bhaiya 😂😂😂
5318,@Shadow Gaming wife hai ya Wi-Fi hai....😂😂
5319,Bhai vo jahaan padi hey udhar high network wifi hey
5320,@B.HARISH not much only 90%ile and about aug. Attempt I don&#39;t know!!
5321,@Satish Kumar how much is ur best percentile?
5322,@Aryan I too but not advance only for jee mains and August one is last attempt
5323,Didi said to have a laptop but did&#39;nt mention about internet it&#39;s like body without a soul😆
5324,And what mistake u did that u r not making video on web development😠😠😠😠😠😠😠😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😠😠😡😠
5325,@Aryan gay for maths
5326,@cake Bake project your college?
5327,@Lovedeep Singh your college?
5328,@1054 Paramita Dey mee tooooo
5329,@cake Bake project haash. Thanks brother.
5330,Biggest mistake is taking the engineering itself especially when you hate maths 😣😣
5331,@PRAKASH GUPTA Har taraf
5332,Bilkul. I was about to comment the same
5333,Yeah I am searching that right now
5334,@Mayank computer science ke sath available hite hn college me
5335,Bhai agar tum bhut jyada soch skte hn kisi cheez ke baare me tabhi lena AI or Machine learning
5336,Didi Sara ye Artificial intelligence and Machine learning ke jo naye course aaye hai unke bare main bhi explain kar dijiye na?
5337,Mere Ghar Mai 3-idiots Wala scene h Mai painter bnna Chata tha lekin ab jee
5338,zindgi chuno! Engineering Nhi.🥺🥺
5339,Kitni OSM he ye yaar ❤️
5340,Ig DTU se thi
5341,Apka college konsa tha ?
5342,Gud
5343,Bro don&#39;t tell me you&#39;ve actually completed that. Your amazing keep it up I am about 70% completion of that course and think it&#39;s really great to start and putting some efforts yourself
5344,*course
5345,C++ course is incomplete please continue that course
5346,Complete web development course yaar
5347,Yeah
5348,"<a href=""https://www.youtube.com/watch?v=hg38QLJbmuc&amp;t=7m14s"">7:14</a> Anybody heard that? A windows notification came at that moment"
5349,We need this kind of videos
5350,Engineering 🌚
5351,Didi konse college se h?
5352,thanks shraddha didi.......<br> Good video
5353,@It&#39;s Prashant Agrahari yaa.... May be
5354,"It&#39;s gmeet also 😁 ,I think that also"
5355,"<a href=""https://www.youtube.com/watch?v=hg38QLJbmuc&amp;t=7m14s"">7:14</a><br>WhatsApp web notification sound😂"
5356,Me who didn&#39;t see his clg 😭😭
5357,@B Pratik Vinod till kuch pata nhi bhai😕
5358,abhi clg kab khulne wala h bhai aapka....next sem---offline  (i am also in MH19)
5359,@B Pratik Vinod ya bro that really hearts 😕🥺
5360,"@Jansi Goswami JSPM&#39;S RSCOE, Pune"
5361,1st year completed.. and just visited college only once😞😥 that&#39;s the condition right now :(
5362,👍👍
5363,Can you please make a video for BSc-IT student because I am in my 1st year of bsc but how can I apply for internships?
5364,My biggest mistake I did in ENGINEERING Is dat I took Science.
5365,Which University is best for BCA
5366,"Please do a video on Ai and machine learning (job opportunity, what is there in ai and how to grab job of ai in India) please aman bhai and didi do a video on this please"
5367,🤣🤣
5368,College ka first year khatam hua par abhi tak sirf 2 days hi offline college me gaha hu 😣
5369,Bhaiya or didi shadi krlo yaar😅😅
5370,Yeah thanks
5371,College toh khul Jae phle
5372,@Kartik Choudhary ya that&#39;s right
5373,@Kartik Choudhary how can u say this?
5374,@Kartik Choudhary how can u say this?
5375,"@ITS DIYA GAMING hey same someone also told me to do polytechnic and then <a href=""http://b.tech/"">b.tech</a> but i dont think so there is a great time period in <a href=""http://b.tech/"">b.tech</a> where u complete ur syllabus..."
5376,Hi I am in class 12th(arts) and someone suggested me to do polytechnic (CSE) and then btech ....is it beneficial for me??
5377,"Ma&#39;am / anyone who wishes to reply<br>I am being uncertain about taking admission in Software Engineering, I have seen a lot of people who choose s.e but today they are frustrated due there job or placements. <br>So how should I know that choosing s e would be the right option? Or should I explore other career options<br>P.S: From my childhood I am curious about tech and how a machine work rather than its design of build.<br>If anyone help me with this I will be really thankful!!"
5378,Ye mene hi notice Kiya ya sabne notice Kiya ki didi ne Aman bhayya ko &quot;aman sir&quot; bola 🤭
5379,@Sabita kumari jena NIT JSR
5380,In which college u r
5381,"don&#39;t join college please, Aman sir had already uploaded wonderful courses .learn  skills by yourself, College is just a waste of time and money for degrees. I am regretting soon I will leave my college(after completing 2 years) I am not able to learn what I want to learn in the college.<br><br><br>I am not demotivating you but it&#39;s the harsh reality of our country colleges...<br>I hope aman sir will bring a change to these envornment"
5382,<b>Noted</b>
5383,"@Abhinav Yadav k, Thnks for advice"
5384,@Kanishk Rai I mean which ever college you choose should have minimum workload....so u can explore more things ....
5385,@Abhinav Yadav What did u meant by free time???
5386,@Samarth Bhatt 81 visit your fav College website and do research
5387,@Abhinav Yadav  where and how to get all these details??
5388,What should I know before taking admission in any university???
5389,any video on clicking I see bhoot police trailer ad<br>god save me
5390,Jai Shree Ram Guruji 🙏 Aapko Pranam 🙏
5391,Thank you so much for this video ... ☺️☺️
5392,Meh diploma Civil engineering ki hai koi best colleges pe video bnaa do please
5393,"Aman Sir, few months ago you posted a story in which you need some good handwriting person for writing notes,I am interested in that job. So please kindly inform me if you need."
5394,Aman bhaiya please please please tier 3 colleges pe bhi ek videos banaiye jaise greater noida ke colleges ya  best tier 3 colleges.... please bhaiya please 🙏🏻🙏🏻🙏🏻
5395,Affiliate marketing pe video didi
5396,"<a href=""https://youtube.com/channel/UCzffcgux9ZgUvqkxFlqDc6w"">https://youtube.com/channel/UCzffcgux9ZgUvqkxFlqDc6w</a>"
5397,Good information<br>Thank you 😊
